path,name,sha256,size_mb,pages,producer,creator,error
D:\Общая_Рабочая\2024\Баня Самара\ЗЕРКАЛО\ПОЛ\Баня сАМАРА - План сборки пола.pdf,Баня сАМАРА - План сборки пола.pdf,54c1244ccc23dd86,0.68,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Самара\ЗЕРКАЛО\ПОТОЛКИ\Баня Самара - План сборки Потолка.pdf,Баня Самара - План сборки Потолка.pdf,47fe9d262fbdb27a,0.51,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Самара\ЗЕРКАЛО\РАМКА\4.pdf,4.pdf,ab65eea9df0c99a2,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Самара\ЗЕРКАЛО\РАМКА\Баня Самара- Рамка.pdf,Баня Самара- Рамка.pdf,49d64cb8dd1b622e,1.08,8,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Самара\ЗЕРКАЛО\СТЕНЫ\Баня Самара - Стены.pdf,Баня Самара - Стены.pdf,1b54f8f355f0e5d6,0.82,9,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Самара\ПОЛ\Баня сАМАРА - План сборки пола.pdf,Баня сАМАРА - План сборки пола.pdf,5d4d84110fc5933f,0.6,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.19),
D:\Общая_Рабочая\2024\Баня Самара\СПЕЦ\Пол\1.pdf,1.pdf,29c620355a91b8bc,0.39,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Самара\СПЕЦ\Стены\2.pdf,2.pdf,4acdc7bfb6f3bc09,0.4,1,Microsoft: Print To PDF,,
D:\Общая_Рабочая\2024\Баня Самара\СТЕНЫ\Баня Самара - Стены.pdf,Баня Самара - Стены.pdf,4b523d19d3efd026,0.85,9,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.18),
D:\Общая_Рабочая\2024\Баня Токсово\ПОЛ\Баня Токсово - План сборки пола.pdf,Баня Токсово - План сборки пола.pdf,ede2009b1ccb1646,0.73,5,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.18),
D:\Общая_Рабочая\2024\Баня Токсово\ПОТОЛОК\Баня Токсово - План сборки Потолка.pdf,Баня Токсово - План сборки Потолка.pdf,373250de4529e17f,0.56,3,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Токсово\РАМКА\Баня Токсово - Рамка.pdf,Баня Токсово - Рамка.pdf,df44a494ee258987,0.6,2,"PDFTron PDFNet, V9.20793",Archicad (GSPublisherVersion: 0.0.100.17),
D:\Общая_Рабочая\2024\Баня Токсово\СПЕЦ\ПОЛ\1.pdf,1.pdf,e2e9812045b622e2,0.39,1,Microsoft: Print To PDF,,
